PRN, Elevation,Is Carrier Lock, residuals, C/No Max, C/No Min, MaxCno2Second, ExtremeMaxSnrValue, ExtremeMinSnrValue, Delta Carrier Freq, Delta Carrier phase, Clock Bias, Clock Drift, Delta Ionospheric Delay, deltaCorrected PR, 2nd delta,PS Residual, Los Value
73.00000000,20.00000000,0.00000000,-3457734.01100000,19.00000000,19.00000000,20.00000000,28.00000000,13.00000000,-0.67600000,18565.48294000,0.00000000,0.00000000,0.00000000,364.78301850,-5.85674409,-35965.15169000,NLOS
73.00000000,21.00000000,0.00000000,2416046.96400000,24.00000000,23.00000000,24.00000000,28.00000000,13.00000000,-0.67400000,18559.30123000,0.00000000,0.00000000,0.00000000,360.69985810,2.23362787,-3034173.14400000,NLOS
9.00000000,16.00000000,0.00000000,-3044069.12100000,27.00000000,26.00000000,27.00000000,33.00000000,0.00000000,-0.67300000,17677.96265000,-0.00007840,0.00000000,0.00000000,546.79715190,3.50192701,61.95890520,NLOS
8.00000000,50.00000000,0.00000000,-3416442.63600000,15.00000000,14.00000000,24.00000000,38.00000000,10.00000000,-0.66000000,18037.77178000,0.00001720,0.00000000,0.00000000,149.22637220,20.22727314,690.41211240,NLOS
17.00000000,14.00000000,0.00000000,-3358067.44900000,23.00000000,22.00000000,31.00000000,41.00000000,20.00000000,-0.64900000,18126.92393000,-0.00015400,0.00000000,0.00000000,44.93417034,9.80804647,114.11739110,NLOS
9.00000000,17.00000000,0.00000000,-5355543.52000000,19.00000000,19.00000000,29.00000000,33.00000000,0.00000000,-0.64400000,17682.99625000,-0.00007840,0.00000000,0.00000000,533.01055910,-4.34040757,57.51393391,NLOS
17.00000000,14.00000000,0.00000000,-4104274.25600000,23.00000000,22.00000000,23.00000000,41.00000000,0.00000000,-0.62900000,18131.14141000,-0.00015400,0.00000000,0.00000000,10.14067432,64.51908265,112.00115740,NLOS
73.00000000,20.00000000,0.00000000,-3967212.42000000,21.00000000,20.00000000,21.00000000,28.00000000,13.00000000,-0.61700000,18530.62637000,0.00000000,0.00000000,0.00000000,329.32686690,-14.12865741,-36090.45081000,NLOS
73.00000000,20.00000000,0.00000000,-3330165.35100000,24.00000000,23.00000000,24.00000000,28.00000000,13.00000000,-0.61500000,18584.01706000,0.00000000,0.00000000,0.00000000,383.31714130,84.66634329,-36133.70900000,NLOS
73.00000000,20.00000000,0.00000000,-3348304.64300000,24.00000000,24.00000000,24.00000000,28.00000000,13.00000000,-0.60500000,18502.42159000,0.00000000,0.00000000,0.00000000,301.72167450,-81.59546683,-36195.11629000,NLOS
73.00000000,20.00000000,0.00000000,-1855879.71600000,27.00000000,26.00000000,27.00000000,31.00000000,7.00000000,-0.60300000,18554.71256000,0.00000000,0.00000000,0.00000000,354.61222440,1.27107184,-36207.91861000,NLOS
9.00000000,17.00000000,0.00000000,-4518319.76800000,24.00000000,23.00000000,24.00000000,33.00000000,0.00000000,-0.59900000,17681.99597000,-0.00007840,0.00000000,0.00000000,493.69969400,20.25056868,79.31053612,NLOS
73.00000000,20.00000000,0.00000000,-2219814.11200000,25.00000000,24.00000000,25.00000000,31.00000000,7.00000000,-0.59200000,18567.83043000,0.00000000,0.00000000,0.00000000,367.43030680,11.96568408,-36274.93016000,NLOS
9.00000000,17.00000000,0.00000000,-4117890.55800000,20.00000000,19.00000000,19.00000000,33.00000000,0.00000000,-0.59000000,17680.89513000,-0.00007840,0.00000000,0.00000000,496.78413110,-2.84368192,73.07156709,NLOS
1.00000000,77.00000000,0.00000000,-5407648.33000000,30.00000000,29.00000000,29.00000000,30.00000000,0.00000000,-0.58000000,18313.43731000,-0.00000934,0.00000000,5.45053200,2653.43634900,-5537.74296900,66.42503452,NLOS
73.00000000,20.00000000,0.00000000,-2820519.79500000,27.00000000,26.00000000,27.00000000,31.00000000,7.00000000,-0.56500000,18572.11342000,0.00000000,0.00000000,0.00000000,371.71329560,-2.42858901,-36172.25839000,NLOS
73.00000000,20.00000000,0.00000000,-1146269.63500000,25.00000000,24.00000000,25.00000000,30.00000000,10.00000000,-0.56000000,18524.08736000,0.00000000,0.00000000,0.00000000,324.58660850,-130.62454360,-36025.77865000,NLOS
73.00000000,20.00000000,0.00000000,-3712285.64400000,28.00000000,27.00000000,28.00000000,28.00000000,13.00000000,-0.56000000,18585.34638000,0.00000000,0.00000000,0.00000000,385.24604360,105.56677380,-36216.12193000,NLOS
