GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027123418,4,0.000,0.000,-26559000.000,92.000,24.5,-539.016
1713027123418,10,0.000,0.000,-26559000.000,16.000,38.6,-391.170
1713027123418,12,0.000,0.000,-26559000.000,16.000,38.4,-258.297
1713027123418,19,263448.682,272809.096,26556292.117,31.000,32.7,-84.630
1713027123418,24,206553.958,318065.203,26556292.117,13.000,40.6,358.006
1713027123418,33,33053.752,377806.115,26556292.117,17.000,38.1,155.434
1713027123418,3,0.000,0.000,-26559000.000,8.000,33.4,-471.168
1713027123418,8,0.000,0.000,-26559000.000,5.000,37.3,202.568
1713027123418,10,0.000,0.000,-26559000.000,20.000,24.9,388.039
1713027123418,27,91748.703,367983.949,26556292.117,6.000,35.9,568.225
1713027123418,32,39642.344,377171.706,26556292.117,12.000,28.5,272.195
1713027123418,10,0.000,0.000,-26559000.000,6.000,36.5,-391.213
1713027123418,12,0.000,0.000,-26559000.000,8.000,32.3,-258.905
1713027123418,24,206553.958,318065.203,26556292.117,9.000,31.5,359.176
1713027123418,33,33053.752,377806.115,26556292.117,8.000,32.4,155.611
1713027123418,21,253767.296,281837.135,26556292.117,6.000,35.5,419.605
1713027123418,33,33053.752,377806.115,26556292.117,7.000,33.7,-479.939
1713027123418,34,13235.609,379018.245,26556292.117,8.000,32.9,238.956
1713027123418,39,0.000,0.000,-26559000.000,9.000,30.5,-120.634
1713027123418,42,1431909.638,10188566.485,24485163.442,8.000,31.7,-45.321
1713027123418,43,1786613.200,10132386.960,24485163.442,7.000,34.2,-301.253
1713027123418,21,253767.296,281837.135,26556292.117,3.000,44.9,419.642
1713027123418,33,33053.752,377806.115,26556292.117,7.000,36.2,-479.094
1713027123418,34,13235.609,379018.245,26556292.117,3.000,44.4,237.881
1713027123418,39,0.000,0.000,-26559000.000,6.000,38.1,-120.639
1713027123418,42,1431909.638,10188566.485,24485163.442,3.000,45.4,-45.593
1713027123418,43,1786613.200,10132386.960,24485163.442,3.000,45.5,-302.341
1713027124418,2,0.000,0.000,-26559000.000,10.000,44.2,-474.694
1713027124418,3,0.000,0.000,-26559000.000,8.000,46.7,-472.975
1713027124418,8,0.000,0.000,-26559000.000,11.000,43.2,201.501
1713027124418,10,0.000,0.000,-26559000.000,14.000,40.6,387.048
1713027124418,21,253767.296,281837.135,26556292.117,17.000,38.8,-316.151
1713027124418,27,91748.703,367983.949,26556292.117,11.000,43.5,567.527
