GPS time,SatPRN,Sat.X,Sat.Y,Sat.Z,Pseudo-Range,CN0,Doppler
1713027122418,43,1577370.210,8945710.995,-24957296.308,173617710213579.780,45.9,-302.887
1713027123418,2,-0.000,-0.000,-26559000.000,173622206513985.280,46.7,-473.311
1713027123418,3,-0.000,-0.000,-26559000.000,173622205403292.900,45.3,-471.467
1713027123418,8,-0.000,0.000,-26559000.000,173622208298230.700,51.1,202.433
1713027123418,10,-0.000,0.000,-26559000.000,173622206634895.780,37.3,387.741
1713027123418,21,-3085978.138,-3427325.941,26155509.110,173622207747288.880,46.9,-315.296
1713027123418,27,-1115724.903,-4474928.168,26155509.110,173622207272789.700,42.1,568.121
1713027123418,28,-1037456.708,-4493718.700,26155509.110,173622205581402.000,38.6,-477.381
1713027123418,32,-482077.115,-4586657.370,26155509.110,173622207983625.780,44.0,272.851
1713027123418,6,-0.000,-0.000,-26559000.000,21442160522407.820,38.6,-493.222
1713027123418,5,-0.000,-0.000,-26559000.000,21442161920391.316,42.4,329.274
1713027123418,20,-3145323.214,-3372946.198,26155509.110,21442162103235.938,31.0,-172.606
1713027123418,19,-3203710.194,-3317539.022,26155509.110,21442159511345.766,29.0,574.605
1713027123418,21,-3085978.138,-3427325.941,26155509.110,21442159123169.395,44.4,-719.918
1713027123418,4,-0.000,-0.000,-26559000.000,21442158542707.640,24.0,719.268
1713027123418,60,-0.000,-0.000,-26559000.000,173617993715978.440,41.6,-1.556
1713027123418,44,4123919.407,8093647.552,-24957296.308,173618006949611.720,26.4,593.863
1713027123418,43,1577370.210,8945710.995,-24957296.308,173618010006363.340,46.0,-302.497
1713027123418,42,1264208.507,8995310.936,-24957296.308,173618010487116.250,49.0,-45.768
1713027123418,39,-0.000,-0.000,-26559000.000,173617993353690.700,35.9,-120.525
1713027123418,34,-160953.755,-4609112.502,26155509.110,173618010597585.560,41.9,237.755
1713027123418,33,-401955.484,-4594372.205,26155509.110,173618007300496.880,32.8,-479.840
1713027123418,21,-3085978.138,-3427325.941,26155509.110,173618008917153.220,46.5,419.501
1713027123418,16,8943895.105,23299643.334,-9083713.000,173617993146716.380,36.8,-181.242
1713027123418,14,8945710.972,24578138.896,-4611922.009,173618009809335.880,47.9,-308.149
1713027123418,13,-1157384.683,-13228967.466,-23000768.715,173617992778752.280,28.2,6.741
