Sy Filter,Sx Filter,,,,Sy Unfilter,Sx unFilter
22.25270136,31.42194359,,,,19.55387616,18.32837809
21.26085134,31.29453275,,,,18.90917364,18.24556104
20.26897909,31.16729503,,,,18.35372518,18.17430791
19.27957965,31.02207536,,,,17.81944949,18.09588929
18.29399405,30.85289787,,,,17.21824227,17.99269102
17.30009068,30.74264314,,,,16.56226605,17.9199229
16.30784528,30.61834891,,,,15.90738408,17.83788871
15.32121617,30.45536734,,,,15.49299986,17.76943645
14.48368813,29.90897299,,,,14.95698191,17.41974407
14.05333457,29.00631258,,,,14.50511067,16.47195064
13.8455936,28.02812871,,,,14.24751187,15.25900264
13.95341944,27.03395891,,,,14.39738979,13.87710662
14.09760293,26.04440794,,,,14.57040998,12.68964546
14.21444701,25.05125767,,,,14.70945444,11.50779663
14.34168473,24.05938542,,,,14.86213971,10.31754993
14.55147395,23.08163878,,,,15.1033973,9.193141299
14.72752795,22.09725827,,,,15.28297238,8.189073178
14.83396556,21.10293889,,,,15.40111813,7.085378664
14.87200456,20.10366263,,,,15.44904727,5.826290582
14.92695474,19.10517354,,,,15.5204825,4.528254755
14.91403966,18.10525694,,,,15.50459696,3.298357341
14.85299112,17.10712214,,,,15.43683308,2.190427715
14.85159486,16.10712312,,,,15.43546474,1.21042867
14.86381186,15.10719775,,,,15.44670438,0.29049733
14.72342902,14.11710045,,,,15.30211006,-0.729302887
14.66795604,13.11864026,,,,15.23887086,-1.867547502
14.67930044,12.11870461,,,,15.25293791,-3.107467708
14.74400691,11.12080027,,,,15.32993862,-4.294973873
14.92624244,10.13754536,,,,15.55044361,-5.484712311
14.98241246,9.139124143,,,,15.62908164,-6.882502016
15.06069756,8.142193131,,,,15.72145806,-8.058880611
15.15324194,7.14648457,,,,15.80937521,-9.004803744
15.27095265,6.153436642,,,,15.90825221,-9.838964003
15.37895201,5.159285678,,,,16.00869162,-10.7635244
15.5367654,4.171816724,,,,16.14756739,-11.63249708
15.68060346,3.182215486,,,,16.29715898,-12.66168237
15.78686753,2.187877541,,,,16.40236041,-13.64607693
15.89556091,1.193802218,,,,16.51105379,-14.64015226
16.02504879,0.202221213,,,,16.64831095,-15.69122812
16.19061279,-0.783977835,,,,16.82049751,-16.71687513
16.33427814,-1.773604162,,,,16.94979632,-17.60753882
