PRN 4 LOS PointD 2nd Delta,PRN 8 NLOS PointD 2nd Delta,PRN 9 NLOS PointD 2nd Delta
-0.316817749,1.175417423,0.398556963
0.091198552,2.098158162,0.252739873
0.447128993,-1.469765689,0.246960308
-0.24669221,-3.060072761,0.169593107
0.166244965,-1.018764887,0.166895118
0.070913948,-2.282606367,-0.139380272
0.344492279,-43.65235163,0.601236038
-0.144421916,33.4959159,12.85566803
0.020572182,0.412492592,9.562036395
0.159277182,4.470534228,6.150505841
0.133933645,2.774528179,-2.864170801
-0.220095478,0.759922449,-2.139977336
0.403193705,1.340963937,-18.66467689
-0.454832796,0.85789388,4.231464259
0.190293819,0.58232284,-20.0553925
0.274331458,-0.101331756,-6.428995259
-2.457579985,0.478767898,-4.151201714
2.472579807,0.598766945,-6.221456368
0.47514591,-2.17276955,3.501927014
-0.195201017,2.607805789,10.54870097
0.152026515,-11.11237575,18.91830159
-0.178358059,17.98193971,7.080907959
0.363871619,-8.28080162,-32.69320012
-0.021577407,-4.332041964,12.95601826
-0.095237009,5.83731905,16.44800401
0.136101555,2.269868489,1.08674572
0.115833312,-6.406730633,-16.62615779
0.362682205,9.600730751,-1.975604579
-0.073636565,-2.811413649,10.86656312
0.072688472,5.642166551,-12.83105844
0.985869616,3.724216685,1.77259304
0.643203653,4.821126495,-3.885155879
0.303213842,3.872087844,10.38941677
-1.666330148,-11.42308804,11.91133092
0.364074167,0.014657326,3.189517856
-0.254471727,-9.720675923,-8.450565144
2.23665702,13.72467555,-9.083851565
-1.57731254,6.496825982,3.350270759
-0.081833471,6.671365276,5.834781095
-0.110842049,4.403163996,-3.713260353
0.064704724,0.723123308,-6.87604196
0.203912072,-3.223750506,-1.416776981
0.152176239,-13.67009807,-7.011190239
-0.20057527,8.930870406,17.73756277
0.193042271,-12.47651151,-10.16233671
2.800084125,-12.34648031,27.21562001
-2.566471398,8.272600558,9.412300806
2.138277162,-11.86129208,-5.858528223
-2.107392509,20.22727314,5.880255885
0.223626237,3.369866032,-20.22404381
0.239439867,-2.154798012,-20.34076514
-0.239970081,-18.79054881,7.978621744
0.240990091,-13.38377834,-0.056307383
-0.050832964,-8.225147501,2.457693107
-0.029844694,-0.388643015,11.14051953
0.249390326,-0.318004124,-6.202923745
4.03257734,0.146261893,-5.763221573
-3.773623418,1.409038246,-2.678573009
-0.007601853,19.53457542,-0.07536222
0.19469871,-3.657213513,1.336581171
0.363930285,4.671017025,2.361486729
0.017900955,-2.351770382,1.771802515
0.068673018,-0.792344198,-3.2209883
-0.113982946,5.88604499,-9.281439681
0.192866489,1.362366851,-1.880505811
0.214762203,0.673942622,25.54980493
0.084814359,0.600356266,-17.39517456
-0.090269621,0.436532788,-13.70850008
0.26736534,0.341292027,12.71959125
0.189336848,1.241049971,7.302057583
-0.19437208,1.466104448,5.760006532
0.149489656,-0.084165543,-13.05419681
-0.048427202,0.38463854,-6.81445859
6.911050759,0.164960701,10.55704606
-6.902981672,7.129184674,22.55395079
0.458142266,-6.719578221,2.375337902
-0.347899482,0.518343538,5.673500068
0.34933228,-0.371458832,-2.84368192
-0.409629911,0.409328334,-27.72354309
0.209229283,-0.39690581,-8.364670325
0.366128877,0.380133241,-38.68745034
-0.0463087,0.361467168,20.61600023
-0.028101403,0.292923547,20.68101912
0.677963279,0.602522492,15.22703666
-0.59173638,-0.428113982,29.24213847
0.167181768,0.256402064,-17.46658121
0.263078701,0.322977219,-40.53482375
0.24707941,0.395078719,77.63397954
-0.25747272,-0.183501128,-34.03566701
-0.007342841,-0.091597453,-12.1973571
0.418845784,0.506127875,-8.179807376
-0.289104413,-0.201494142,-4.428808231
0.225347541,0.314585544,22.29185653
0.230342273,0.197688594,-5.681251805
-0.079862285,-0.09280628,-15.51120477
0.097640458,0.113575861,-16.29287605
0.30351257,0.290030062,7.969975084
0.125271112,0.176830132,9.020134091
0.276214987,0.186793208,9.255769752
0.202747844,0.161016375,20.25056868
-0.147374682,-0.059648588,-16.99447025
0.02403374,0.015295237,-5.692178138
-0.161837745,-0.267163791,-7.477709472
-0.242722847,-0.128883358,0.531543136
-0.088085409,-46.09060166,2.619474836
0.306168176,61.92225078,4.082140978
